service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
23290,0,0,0,0,0,1,1,20220903,20240601
23291,0,0,0,0,0,1,1,20220903,20240601
22269,1,1,1,1,1,0,0,20211115,20240601
22270,1,1,1,1,1,0,0,20211115,20240601
23231,0,0,0,0,0,1,1,20230204,20240601
23593,1,1,1,1,1,0,0,20230201,20240601
24416,1,1,1,1,1,0,0,20230605,20240601
24417,0,0,0,0,0,1,1,20230603,20240601
25163,0,0,0,0,0,1,1,20230610,20240601
25092,1,1,1,1,1,0,0,20230502,20240601
24965,0,0,0,0,0,1,1,20230603,20240601
23201,1,1,1,1,1,0,0,20230201,20240601
24007,1,1,1,1,1,0,0,20230605,20240601
25020,0,0,0,0,0,1,1,20230603,20240601
24991,1,1,1,1,1,0,0,20230605,20240601
24024,0,0,0,0,0,1,1,20230603,20240601
23274,1,1,1,1,1,0,0,20220901,20240601
22917,0,0,0,0,0,1,1,20220716,20240601
25255,1,1,1,1,1,0,0,20230605,20240601
25256,0,0,0,0,0,1,1,20230603,20240601
25179,1,1,1,1,1,0,0,20230605,20240601
23347,0,0,0,0,0,1,1,20220903,20240601
24291,1,1,1,1,1,0,0,20230206,20240601
24234,0,0,0,0,0,1,1,20230204,20240601
25194,1,1,1,1,1,0,0,20230605,20240601
24709,0,0,0,0,0,1,1,20230325,20240601
23592,1,1,1,1,1,0,0,20230605,20240601
22080,0,0,0,0,0,1,1,20230603,20240601
24387,1,1,1,1,1,0,0,20230417,20240601
25106,0,0,0,0,0,1,1,20230415,20240601
24388,1,1,1,1,1,0,0,20230417,20240601
24383,1,1,1,1,1,0,0,20230605,20240601
24968,0,0,0,0,0,1,1,20230603,20240601
23283,0,0,0,0,0,1,1,20220903,20240601
22400,1,1,1,1,1,0,0,20220620,20240601
24110,1,1,1,1,1,0,0,20230605,20240601
24111,0,0,0,0,0,1,1,20230603,20240601
23287,0,0,0,0,0,1,1,20220903,20240601
25247,1,1,1,1,1,0,0,20220901,20240601
25248,1,1,1,1,1,0,0,20220901,20240601
25001,1,1,1,1,1,0,0,20230605,20240601
24729,0,0,0,0,0,1,1,20230603,20240601
24974,1,1,1,1,1,0,0,20230605,20240601
24976,0,0,0,0,0,1,1,20230603,20240601
24977,0,0,0,0,0,1,1,20230603,20240601
23253,1,1,1,1,1,0,0,20220901,20240601
22159,0,0,0,0,0,1,1,20220623,20240601
24975,1,1,1,1,1,0,0,20230605,20240601
24427,1,1,1,1,1,0,0,20230605,20240601
24039,0,0,0,0,0,1,1,20230603,20240601
25305,1,1,1,1,1,1,1,20230603,20240601
24992,1,1,1,1,1,0,0,20230201,20240601
24913,0,0,0,0,0,1,1,20230603,20240601
25107,0,0,0,0,0,1,1,20230415,20240601
24851,1,1,1,1,1,0,0,20230605,20240601
24880,0,0,0,0,0,1,1,20230603,20240601
24431,1,1,1,1,1,0,0,20230605,20240601
24870,1,1,1,1,1,0,0,20230322,20240601
25048,0,0,0,0,0,1,1,20230603,20240601
24294,1,1,1,1,1,0,0,20220901,20240601
17142,0,0,0,0,0,1,1,20211118,20240601
21189,0,0,0,0,0,1,1,20220623,20240601
21188,0,0,0,0,0,1,1,20220623,20240601
21186,1,1,1,1,1,0,0,20220620,20240601
21187,1,1,1,1,1,0,0,20220620,20240601
24295,1,1,1,1,1,0,0,20220901,20240601
17422,0,0,0,0,0,1,1,20211118,20240601
24856,1,1,1,1,1,0,0,20230605,20240601
24879,0,0,0,0,0,1,1,20230603,20240601
24440,1,1,1,1,1,0,0,20230605,20240601
24051,0,0,0,0,0,1,1,20230603,20240601
24442,1,1,1,1,1,0,0,20230605,20240601
24052,0,0,0,0,0,1,1,20230603,20240601
24432,1,1,1,1,1,0,0,20230605,20240601
25012,1,1,1,1,1,0,0,20230605,20240601
25029,0,0,0,0,0,1,1,20230603,20240601
25161,1,1,1,1,1,0,0,20230605,20240601
25267,1,1,1,1,1,0,0,20230605,20240601
25268,0,0,0,0,0,1,1,20230603,20240601
24634,1,1,1,1,1,0,0,20230605,20240601
24635,1,1,1,1,1,0,0,20230605,20240601
25263,0,0,0,0,0,1,1,20230603,20240601
25264,0,0,0,0,0,1,1,20230603,20240601
7523,0,0,0,0,0,1,1,20230204,20240601
22778,1,1,1,1,1,0,0,20230201,20240601
25052,0,0,0,0,0,1,1,20230603,20240601
22102,1,1,1,1,1,0,0,20220620,20240601
24436,1,1,1,1,1,0,0,20230605,20240601
24434,0,0,0,0,0,1,1,20230603,20240601
25064,1,1,1,1,1,0,0,20230605,20240601
25049,0,0,0,0,0,1,1,20230603,20240601
24158,1,1,1,1,1,0,0,20200901,20240601
22268,1,1,1,1,1,0,0,20220606,20240601
