service_id,date,exception_type
23290,20240101,1
23290,20230501,1
23290,20230504,1
23290,20230623,1
23290,20230624,1
23290,20231118,1
23290,20231224,1
23290,20231225,1
23290,20231226,1
23290,20231231,1
23291,20240101,1
23291,20230501,1
23291,20230504,1
23291,20230623,1
23291,20230624,1
23291,20231118,1
23291,20231224,1
23291,20231225,1
23291,20231226,1
23291,20231231,1
22269,20240101,2
22269,20230501,2
22269,20230504,2
22269,20230623,2
22269,20230624,2
22269,20231118,2
22269,20231224,2
22269,20231225,2
22269,20231226,2
22269,20231231,2
22270,20240101,2
22270,20230501,2
22270,20230504,2
22270,20230623,2
22270,20230624,2
22270,20231118,2
22270,20231224,2
22270,20231225,2
22270,20231226,2
22270,20231231,2
23231,20240101,1
23231,20230501,1
23231,20230504,1
23231,20230623,1
23231,20230624,1
23231,20231118,1
23231,20231224,1
23231,20231225,1
23231,20231226,1
23231,20231231,1
24537,20240101,2
24537,20230501,2
24537,20230504,2
24537,20230623,2
24537,20230624,2
24537,20231118,2
24537,20231224,2
24537,20231225,2
24537,20231226,2
24537,20231231,2
23591,20240101,2
23591,20230501,2
23591,20230504,2
23591,20230623,2
23591,20230624,2
23591,20231118,2
23591,20231224,2
23591,20231225,2
23591,20231226,2
23591,20231231,2
21068,20240101,1
21068,20230501,1
21068,20230504,1
21068,20230623,1
21068,20230624,1
21068,20231118,1
21068,20231224,1
21068,20231225,1
21068,20231226,1
21068,20231231,1
23234,20240101,1
23234,20230501,1
23234,20230504,1
23234,20230623,1
23234,20230624,1
23234,20231118,1
23234,20231224,1
23234,20231225,1
23234,20231226,1
23234,20231231,1
23201,20240101,2
23201,20230501,2
23201,20230504,2
23201,20230623,2
23201,20230624,2
23201,20231118,2
23201,20231224,2
23201,20231225,2
23201,20231226,2
23201,20231231,2
24150,20240101,1
24150,20230501,1
24150,20230504,1
24150,20230623,1
24150,20230624,1
24150,20231118,1
24150,20231224,1
24150,20231225,1
24150,20231226,1
24150,20231231,1
22152,20240101,2
22152,20230501,2
22152,20230504,2
22152,20230623,2
22152,20230624,2
22152,20231118,2
22152,20231224,2
22152,20231225,2
22152,20231226,2
22152,20231231,2
24151,20240101,1
24151,20230501,1
24151,20230504,1
24151,20230623,1
24151,20230624,1
24151,20231118,1
24151,20231224,1
24151,20231225,1
24151,20231226,1
24151,20231231,1
24352,20240101,2
24352,20230501,2
24352,20230504,2
24352,20230623,2
24352,20230624,2
24352,20231118,2
24352,20231224,2
24352,20231225,2
24352,20231226,2
24352,20231231,2
23274,20240101,2
23274,20230501,2
23274,20230504,2
23274,20230623,2
23274,20230624,2
23274,20231118,2
23274,20231224,2
23274,20231225,2
23274,20231226,2
23274,20231231,2
22917,20240101,1
22917,20230501,1
22917,20230504,1
22917,20230623,1
22917,20230624,1
22917,20231118,1
22917,20231224,1
22917,20231225,1
22917,20231226,1
22917,20231231,1
24152,20240101,1
24152,20230501,1
24152,20230504,1
24152,20230623,1
24152,20230624,1
24152,20231118,1
24152,20231224,1
24152,20231225,1
24152,20231226,1
24152,20231231,1
24153,20240101,2
24153,20230501,2
24153,20230504,2
24153,20230623,2
24153,20230624,2
24153,20231118,2
24153,20231224,2
24153,20231225,2
24153,20231226,2
24153,20231231,2
23347,20240101,1
23347,20230501,1
23347,20230504,1
23347,20230623,1
23347,20230624,1
23347,20231118,1
23347,20231224,1
23347,20231225,1
23347,20231226,1
23347,20231231,1
24006,20240101,2
24006,20230501,2
24006,20230504,2
24006,20230623,2
24006,20230624,2
24006,20231118,2
24006,20231224,2
24006,20231225,2
24006,20231226,2
24006,20231231,2
24291,20240101,2
24291,20230501,2
24291,20230504,2
24291,20230623,2
24291,20230624,2
24291,20231118,2
24291,20231224,2
24291,20231225,2
24291,20231226,2
24291,20231231,2
24234,20240101,1
24234,20230501,1
24234,20230504,1
24234,20230623,1
24234,20230624,1
24234,20231118,1
24234,20231224,1
24234,20231225,1
24234,20231226,1
24234,20231231,1
20134,20240101,1
20134,20230501,1
20134,20230504,1
20134,20230623,1
20134,20230624,1
20134,20231118,1
20134,20231224,1
20134,20231225,1
20134,20231226,1
20134,20231231,1
20866,20240101,2
20866,20230501,2
20866,20230504,2
20866,20230623,2
20866,20230624,2
20866,20231118,2
20866,20231224,2
20866,20231225,2
20866,20231226,2
20866,20231231,2
23897,20240101,1
23897,20230501,1
23897,20230504,1
23897,20230623,1
23897,20230624,1
23897,20231118,1
23897,20231224,1
23897,20231225,1
23897,20231226,1
23897,20231231,1
24538,20240101,2
24538,20230501,2
24538,20230504,2
24538,20230623,2
24538,20230624,2
24538,20231118,2
24538,20231224,2
24538,20231225,2
24538,20231226,2
24538,20231231,2
23411,20240101,1
23411,20230501,1
23411,20230504,1
23411,20230623,1
23411,20230624,1
23411,20231118,1
23411,20231224,1
23411,20231225,1
23411,20231226,1
23411,20231231,1
23276,20240101,2
23276,20230501,2
23276,20230504,2
23276,20230623,2
23276,20230624,2
23276,20231118,2
23276,20231224,2
23276,20231225,2
23276,20231226,2
23276,20231231,2
23319,20240101,1
23319,20230501,1
23319,20230504,1
23319,20230623,1
23319,20230624,1
23319,20231118,1
23319,20231224,1
23319,20231225,1
23319,20231226,1
23319,20231231,1
22115,20240101,2
22115,20230501,2
22115,20230504,2
22115,20230623,2
22115,20230624,2
22115,20231118,2
22115,20231224,2
22115,20231225,2
22115,20231226,2
22115,20231231,2
23283,20240101,1
23283,20230501,1
23283,20230504,1
23283,20230623,1
23283,20230624,1
23283,20231118,1
23283,20231224,1
23283,20231225,1
23283,20231226,1
23283,20231231,1
22400,20240101,2
22400,20230501,2
22400,20230504,2
22400,20230623,2
22400,20230624,2
22400,20231118,2
22400,20231224,2
22400,20231225,2
22400,20231226,2
22400,20231231,2
22725,20240101,1
22725,20230501,1
22725,20230504,1
22725,20230623,1
22725,20230624,1
22725,20231118,1
22725,20231224,1
22725,20231225,1
22725,20231226,1
22725,20231231,1
22724,20240101,2
22724,20230501,2
22724,20230504,2
22724,20230623,2
22724,20230624,2
22724,20231118,2
22724,20231224,2
22724,20231225,2
22724,20231226,2
22724,20231231,2
23287,20240101,1
23287,20230501,1
23287,20230504,1
23287,20230623,1
23287,20230624,1
23287,20231118,1
23287,20231224,1
23287,20231225,1
23287,20231226,1
23287,20231231,1
23195,20240101,2
23195,20230501,2
23195,20230504,2
23195,20230623,2
23195,20230624,2
23195,20231118,2
23195,20231224,2
23195,20231225,2
23195,20231226,2
23195,20231231,2
24265,20240101,1
24265,20230501,1
24265,20230504,1
24265,20230623,1
24265,20230624,1
24265,20231118,1
24265,20231224,1
24265,20231225,1
24265,20231226,1
24265,20231231,1
24275,20240101,2
24275,20230501,2
24275,20230504,2
24275,20230623,2
24275,20230624,2
24275,20231118,2
24275,20231224,2
24275,20231225,2
24275,20231226,2
24275,20231231,2
23817,20240101,1
23817,20230501,1
23817,20230504,1
23817,20230623,1
23817,20230624,1
23817,20231118,1
23817,20231224,1
23817,20231225,1
23817,20231226,1
23817,20231231,1
23818,20240101,1
23818,20230501,1
23818,20230504,1
23818,20230623,1
23818,20230624,1
23818,20231118,1
23818,20231224,1
23818,20231225,1
23818,20231226,1
23818,20231231,1
23806,20240101,2
23806,20230501,2
23806,20230504,2
23806,20230623,2
23806,20230624,2
23806,20231118,2
23806,20231224,2
23806,20231225,2
23806,20231226,2
23806,20231231,2
23253,20240101,2
23253,20230501,2
23253,20230504,2
23253,20230623,2
23253,20230624,2
23253,20231118,2
23253,20231224,2
23253,20231225,2
23253,20231226,2
23253,20231231,2
22159,20240101,1
22159,20230501,1
22159,20230504,1
22159,20230623,1
22159,20230624,1
22159,20231118,1
22159,20231224,1
22159,20231225,1
22159,20231226,1
22159,20231231,1
23807,20240101,2
23807,20230501,2
23807,20230504,2
23807,20230623,2
23807,20230624,2
23807,20231118,2
23807,20231224,2
23807,20231225,2
23807,20231226,2
23807,20231231,2
20793,20240101,1
20793,20230501,1
20793,20230504,1
20793,20230623,1
20793,20230624,1
20793,20231118,1
20793,20231224,1
20793,20231225,1
20793,20231226,1
20793,20231231,1
20772,20240101,2
20772,20230501,2
20772,20230504,2
20772,20230623,2
20772,20230624,2
20772,20231118,2
20772,20231224,2
20772,20231225,2
20772,20231226,2
20772,20231231,2
23293,20240101,1
23293,20230501,1
23293,20230504,1
23293,20230623,1
23293,20230624,1
23293,20231118,1
23293,20231224,1
23293,20231225,1
23293,20231226,1
23293,20231231,1
23288,20240101,2
23288,20230501,2
23288,20230504,2
23288,20230623,2
23288,20230624,2
23288,20231118,2
23288,20231224,2
23288,20231225,2
23288,20231226,2
23288,20231231,2
24353,20240101,2
24353,20230501,2
24353,20230504,2
24353,20230623,2
